SA2_2018_Code,SA2_2018_Name,JSS_PC,SPS_PC,MTB_PC,No_Quals_PC,No_Own_PC,Damp_Mould_PC,No_Int_PC,Inc_Leq_50k_PC,Crowded_PC
194100,Te Reti,0.04,0.04,0.03,0.25,0.43,0.22,0.19,0.3,0.13
194200,Bethlehem South,0.02,0.01,0,0.18,0.29,0.06,0.08,0.37,0.07
194300,Omanu Beach,0.03,0.03,0.02,0.22,0.5,0.16,0.23,0.24,0.12
194400,Tauranga Hospital,0.07,0.07,0.05,0.35,0.59,0.22,0.42,0.41,0
194500,Tauriko,0.02,0.04,0.02,0.32,0.47,0.36,0.17,0.39,0
194600,Gate Pa,0.08,0.06,0.04,0.32,0.55,0.24,0.31,0.47,0.05
194700,Greerton South,0.05,0.06,0.04,0.29,0.46,0.21,0.36,0.33,0.1
194800,Tauranga South,0.05,0.03,0.05,0.24,0.51,0.18,0.32,0.16,0.11
194900,Arataki North,0.04,0.02,0.02,0.3,0.4,0.13,0.24,0.31,0.05
195000,Matapihi,0.1,0.06,0.03,0.37,0.54,0.32,0.43,0.53,0.06
195100,Pyes Pa West,0,0,0.03,0.35,0.35,0.02,0.06,0.2,0.08
195200,Greerton North,0.05,0.05,0.04,0.35,0.44,0.2,0.38,0.43,0.07
195300,Yatton Park,0.1,0.1,0.04,0.37,0.59,0.3,0.38,0.52,0.04
195400,Pyes Pa North,0.03,0.02,0.02,0.27,0.3,0.06,0.18,0.46,0
195500,Arataki South,0.05,0.06,0.03,0.29,0.6,0.25,0.31,0.38,0.12
195600,Pyes Pa South,0.01,0,0.01,0.17,0.2,0.05,0.05,0.29,0
195700,Poike,0.08,0.07,0.04,0.31,0.54,0.23,0.31,0.23,0.07
195800,Te Maunga North,0.05,0.05,0.03,0.31,0.54,0.16,0.41,0.54,0.03
195900,Maungatapu,0.04,0.04,0.02,0.28,0.37,0.17,0.21,0.5,0.05
196000,Hairini,0.05,0.05,0.02,0.25,0.39,0.19,0.28,0.4,0
196100,Pyes Pa East,0.04,0.04,0.02,0.27,0.31,0.11,0.18,0.34,0
196200,Te Maunga South,0.02,0.02,0.02,0.27,0.29,0.07,0.21,0.17,0.06
196300,Kaitemako (Tauranga),0.04,0.03,0.03,0.22,0.36,0.15,0.18,0.42,0
196400,Ohauiti,0.02,0.02,0.01,0.22,0.27,0.05,0.14,0.54,0
196500,Baypark-Kairua,0.1,0.07,0.04,0.34,0.57,0.22,0.38,0.37,0.19
196600,Welcome Bay West,0.05,0.08,0.01,0.24,0.45,0.22,0.16,0.4,0.14
196700,Welcome Bay East,0.05,0.04,0.01,0.25,0.38,0.17,0.2,0.19,0.14
196800,Pacific View,0.03,0.02,0.01,0.23,0.4,0.1,0.13,0.38,0
196900,Welcome Bay South,0.01,0.03,0.01,0.21,0.27,0.07,0.1,0.29,0.06
197000,Palm Beach North,0.05,0.07,0.03,0.29,0.54,0.21,0.22,0.29,0
197100,Palm Beach South-Gravatt,0.02,0.01,0.02,0.25,0.25,0.08,0.12,0.39,0.07
197200,Papamoa Beach North,0.04,0.06,0.03,0.24,0.51,0.22,0.21,0.3,0
197300,Doncaster,0.05,0.06,0.03,0.32,0.38,0.09,0.23,0.35,0.03
197400,Papamoa Beach South,0.05,0.05,0.02,0.26,0.5,0.17,0.23,0.31,0.09
197500,Motiti,0.04,0.03,0.02,0.21,0.42,0.12,0.14,0.22,0.07
197600,Wairakei (Tauranga),0,0,0.08,0.33,0.67,0.01,0.35,0.34,0.02
197700,Tui Ridge,0.03,0.02,0.01,0.21,0.33,0.22,0.22,0.34,0.04
197800,Arahiwi,0,0.04,0,0.31,0.54,0.33,0.29,0.33,0.03
197900,Ngongotaha Valley,0.06,0.05,0.02,0.31,0.39,0.25,0.3,0.35,0.03
198000,Hamurana,0.02,0.02,0.02,0.17,0.27,0.15,0.15,0.36,0.06
198100,Ngongotaha East,0.08,0.06,0.02,0.32,0.45,0.23,0.34,0.28,0.03
198200,Ngongotaha West,0.06,0.06,0.03,0.29,0.43,0.2,0.32,0.35,0.03
198400,Ngongotaha South,0.06,0.04,0.03,0.28,0.42,0.22,0.34,0.38,0.11
198500,Selwyn Heights,0.1,0.12,0.03,0.4,0.57,0.35,0.38,0.25,0.09
198600,Pleasant Heights,0.07,0.1,0.03,0.32,0.53,0.37,0.4,0.38,0.1
198700,Rotoiti-Rotoehu,0.07,0.05,0.03,0.28,0.45,0.28,0.29,0.42,0.06
198800,Kawaha,0.05,0.03,0.03,0.2,0.41,0.2,0.2,0,0.13
198900,Fairy Springs,0.07,0.07,0.02,0.29,0.5,0.31,0.35,0.42,0
199000,Western Heights (Rotorua),0.14,0.13,0.05,0.37,0.66,0.41,0.48,0.37,0.06
199100,Pukehangi North,0.1,0.12,0.04,0.36,0.62,0.37,0.45,0.41,0.04
199200,Pukehangi South,0.03,0.03,0.01,0.24,0.39,0.17,0.24,0.36,0
199300,Mangakakahi Central,0.1,0.06,0,0.29,0.81,0.13,0.64,0.34,0.05
199400,Koutu,0.13,0.1,0.04,0.32,0.61,0.38,0.45,0.42,0.16
199500,Mangakakahi West,0.08,0.1,0.02,0.33,0.58,0.36,0.37,0.53,0.11
199600,Sunnybrook,0.04,0.04,0.02,0.26,0.4,0.23,0.22,0.45,0.01
199700,Fordlands,0.17,0.13,0.05,0.43,0.7,0.4,0.53,0.34,0.19
199800,Kuirau,0.12,0.06,0.05,0.27,0.69,0.3,0.44,0.56,0.19
199900,Utuhina,0.08,0.06,0.03,0.26,0.5,0.28,0.32,0.47,0.05
200000,Pomare,0.03,0.03,0.02,0.22,0.33,0.16,0.19,0.42,0
200100,Rotorua Central,0.06,0.01,0.05,0.19,0.81,0.17,0.36,0.33,0.13
200200,Hillcrest (Rotorua),0.06,0.06,0.03,0.24,0.45,0.33,0.29,0.52,0.13
200300,Victoria,0.11,0.04,0.06,0.28,0.67,0.31,0.47,0.55,0.15
200400,Waiohewa,0.04,0.01,0,0.19,0.27,0.16,0.15,0.37,0.1
200500,Glenholme North,0.09,0.08,0.04,0.33,0.63,0.22,0.44,0.27,0.14
200600,Springfield South,0.02,0.01,0.01,0.16,0.3,0.16,0.1,0.43,0.06
200700,Springfield North,0.03,0.02,0.02,0.21,0.44,0.19,0.21,0.33,0
200800,Glenholme South,0.03,0.02,0.01,0.18,0.33,0.16,0.21,0.57,0.13
200900,Owhata West,0.07,0.08,0.02,0.3,0.5,0.22,0.31,0.17,0.03
201000,Holdens Bay-Rotokawa,0.07,0.06,0.03,0.27,0.51,0.3,0.32,0.58,0.06
201100,Ngapuna,0.14,0.08,0.03,0.41,0.56,0.32,0.56,0.22,0.13
201200,Fenton Park,0.06,0.05,0.03,0.3,0.56,0.23,0.46,0.31,0
201300,Tihiotonga-Whakarewarewa,0.06,0.03,0.01,0.19,0.42,0.26,0.27,0.38,0.12
201400,Owhata East,0.05,0.06,0.02,0.28,0.44,0.23,0.27,0.39,0
201500,Lynmore,0.02,0.01,0.01,0.15,0.29,0.15,0.11,0.39,0.12
201600,Ngakuru,0.03,0.02,0.01,0.22,0.44,0.21,0.26,0.5,0
201700,Kaingaroa-Whakarewarewa,0.07,0.03,0.01,0.22,0.41,0.24,0.3,0.6,0
201800,Golden Springs,0.04,0.02,0.02,0.29,0.56,0.22,0.33,0.29,0
201900,Manawahe,0.05,0.03,0.01,0.25,0.36,0.16,0.24,0.38,0.15
202000,Matata-Otakiri,0.06,0.03,0.03,0.33,0.43,0.19,0.3,0.22,0.15
202100,Onepu Spring,0.06,0.03,0.02,0.27,0.33,0.19,0.27,0.28,0
202200,Edgecumbe,0.1,0.06,0.03,0.35,0.43,0.2,0.38,0.27,0.09
202300,Thornton-Awakeri,0.07,0.03,0.01,0.29,0.43,0.2,0.28,0.34,0.11
202400,Te Teko Lakes,0.2,0.07,0.04,0.39,0.48,0.41,0.41,0.26,0.29
202500,Coastlands,0.08,0.04,0.02,0.25,0.41,0.15,0.2,0.42,0.08
202600,Whakatane West,0.12,0.08,0.04,0.33,0.47,0.26,0.31,0.27,0.11
202700,Whakatane Central,0.09,0.05,0.03,0.31,0.5,0.21,0.36,0.4,0.04
202800,Trident,0.1,0.07,0.04,0.33,0.51,0.24,0.39,0.27,0.12
202900,Allandale,0.06,0.04,0.03,0.29,0.45,0.2,0.36,0.44,0.13
203000,Mokorua Bush,0.03,0.01,0.01,0.16,0.25,0.12,0.1,0.47,0.02
203100,Wainui (Whakatane),0.13,0.07,0.03,0.32,0.47,0.34,0.38,0.55,0.06
203200,Ohope,0.03,0.02,0.01,0.18,0.4,0.14,0.17,0.52,0.1
203400,Galatea,0.16,0.07,0.02,0.36,0.53,0.37,0.49,0.3,0.25
203500,Waingarara-Waimana,0.15,0.08,0.03,0.35,0.54,0.42,0.48,0.33,0.24
203600,Murupara,0.23,0.12,0.05,0.45,0.59,0.46,0.61,0,0.15
203700,Monika Reserve,0.11,0.06,0.04,0.37,0.41,0.24,0.34,0.42,0.12
203900,Tarawera Park,0.14,0.09,0.06,0.42,0.51,0.32,0.52,0.61,0.15
204100,Waiotahi,0.09,0.04,0.02,0.31,0.42,0.2,0.29,1,0.01
204200,Cape Runaway,0.19,0.09,0.05,0.4,0.49,0.33,0.48,0.61,0.12
204300,Woodlands,0.06,0.03,0.01,0.28,0.29,0.15,0.29,0,0.01
204400,Opotiki,0.19,0.1,0.04,0.43,0.59,0.38,0.55,0.36,0.09
204500,Otara-Tirohanga (Opotiki District),0.1,0.04,0.03,0.39,0.48,0.24,0.38,0.6,0
204600,Oponae,0.17,0.05,0.03,0.43,0.44,0.27,0.66,0.41,0.1
204700,East Cape,0.21,0.1,0.08,0.41,0.59,0.44,0.62,0.6,0.14
204800,Waipaoa,0.09,0.05,0.02,0.36,0.55,0.28,0.42,0.43,0.01
204900,Ruatoria-Raukumara,0.23,0.09,0.05,0.4,0.62,0.37,0.58,0.52,0.15
205000,Tokomaru,0.16,0.06,0.06,0.42,0.62,0.35,0.53,0,0.17
205100,Hangaroa,0.04,0.03,0.02,0.28,0.52,0.23,0.28,0.5,0
205200,Wharekaka,0.12,0.06,0.02,0.32,0.56,0.32,0.44,0.64,0.06
205300,Te Arai,0.06,0.05,0.02,0.31,0.45,0.24,0.34,0.39,0.02
205400,Hexton,0.03,0.02,0.01,0.24,0.35,0.14,0.19,0.59,0.04
205500,Lytton,0.05,0.01,0.05,0.31,0.29,0.03,0.26,0.5,0.08
205600,Makaraka-Awapuni,0.06,0.04,0.03,0.3,0.49,0.19,0.27,0.3,0.1
205700,Riverdale,0.05,0.04,0.03,0.3,0.38,0.15,0.28,0.41,0.04
205800,Te Hapara North,0.05,0.04,0.04,0.33,0.46,0.19,0.31,0.32,0.01
205900,Mangapapa North,0.07,0.06,0.05,0.34,0.44,0.24,0.39,0.25,0.16
206000,Elgin,0.11,0.1,0.06,0.42,0.6,0.25,0.54,0.51,0.15
